变量名,name,triggerType,startRound,awakeDescribes,cdRound,timesLimit,devSkillID,skin2SkillID,buffs,conditions,roundTimes,skillID,keyWords,showConfig
默认值,"""""",1,1,"""""",0,"""1""",<>,{},<>,"{""true""=""true"";""false""=""false""}",<1;1>,,{},{x=0;y=15;scale=1.5}
ID,name,triggerType,startRound,awakeDescribes,cdRound,timesLimit,devSkillID,skin2SkillID,buffs,conditions,roundTimes,skillID,keyWords,showConfig
161,Toxic Bomb,3,,,,1,<8001611;8001621;8001631>,,<850009901>,"{3=""moreE(self:getBuffOverlayCount(850000000),1)""}",<1;1>,8001611,,
241,Flare Blitz,1,,,,1,<8002411;8002421>,,,"{1=""true""}",<1;1>,8002421,,
261,Psycho Cut,1,,,,1,<8002611;8002621;8002631>,{265=8002651},,"{1=""true""}",<1;1>,8002631,,
264,Super Psycho Cut,1,,,,1,,,,"{1=""true""}",<1;1>,8002641,,
381,Frostwave Crash,1,,,,1,<8003811;8003821>,,,"{1=""true""}",<1;1>,8003821,,
391,Fear,3,,,,1,<8003911;8003921;8003931>,{395=8003951},<850001401;850000801>,"{3=""moreE(self:getBuffOverlayCount(850000000),1)""}",<1;1>,8003911,,
394,Dream Eater,3,,,,1,,,<850001401;850000801>,"{3=""moreE(self:getBuffOverlayCount(850000000),1)""}",<1;1>,8003941,,
401,Rock Strike,3,,,,1,<8004011;8004021>,,<850000901;850001701>,"{3=""moreE(self:getBuffOverlayCount(850000000),1)""}",<1;1>,8004011,,
403,Explosive Rock Impact,3,,,,1,,,<850000901;850001701>,"{3=""moreE(self:getBuffOverlayCount(850000000),1)""}",<1;1>,8004031,,
571,Sky Hunt,3,,,,1,<8057111;8057211>,{573=8057311},<850001201;850001701>,"{3=""moreE(self:getBuffOverlayCount(850000000),1)""}",<1;1>,8057111,,
574,Super Sky Hunt,3,,,,1,,,<850001201;850001701>,"{3=""moreE(self:getBuffOverlayCount(850000000),1)""}",<1;1>,8057411,,
601,Magma Blaze,3,,,,1,<8006011;8006021;8006031>,,<850000201>,"{3=""moreE(self:getBuffOverlayCount(850000000),1)""}",<1;1>,8006031,,
611,Vice Grip,3,,,,1,,,<850001201>,"{3=""moreE(self:getBuffOverlayCount(850000000),1)""}",<1;1>,8006111,,
711,,3,,,,1,<8071111;8071211>,,<850009901>,"{3=""moreE(self:getBuffOverlayCount(850000000),1)""}",<1;1>,8071111,,
721,Iceberg,1,,,,1,,,,"{1=""true""}",<1;1>,8007211,,
731,Thunderous Force,3,,,,1,,{732=8007321},<850000501>,"{3=""moreE(self:getBuffOverlayCount(850000000),1)""}",<1;1>,8007311,,
741,Cinder Blaze,3,,,,1,,,<850000201>,"{3=""moreE(self:getBuffOverlayCount(850000000),1)""}",<1;1>,8007411,,
861,Blessing,3,,,,1,<8008611;8008621;8008631>,,<850001801>,"{3=""moreE(self:getBuffOverlayCount(850000000),1)""}",<1;1>,8008611,,
881,Electro Surge,3,,,,1,<8088111;8088211;8088311>,,<850000501>,"{3=""moreE(self:getBuffOverlayCount(850000000),1)""}",<1;1>,8088311,,
884,Super Electro Surge,3,,,,1,,,<850000501>,"{3=""moreE(self:getBuffOverlayCount(850000000),1)""}",<1;1>,8088411,,
1031,Poison Sting,3,,,,1,<8010311;8010321>,,<850000901;850001001>,"{3=""moreE(self:getBuffOverlayCount(850000000),1)""}",<1;1>,8010311,,
1081,Super Ice Trap,3,,,,1,<8010811;8010821>,,<850000601>,"{3=""moreE(self:getBuffOverlayCount(850000000),1)""}",<1;1>,8010811,,
1171,Encirclement Hunt,3,,,,1,<8011711;8011721>,,<850009901>,"{3=""moreE(self:getBuffOverlayCount(850000000),1)""}",<1;1>,8011721,,
1173,Super Encirclement Hunt,3,,,,1,,,<850009901>,"{3=""moreE(self:getBuffOverlayCount(850000000),1)""}",<1;1>,8011731,,
1221,Thunder Claw,1,,,,1,,,,"{1=""true""}",<1;1>,8012211,,
1231,Doomsday Flame Burst,1,,,,1,,,,"{1=""true""}",<1;1>,8012311,,
1241,Tidal Whirlpool,3,,,,1,,,<850000301>,"{3=""moreE(self:getBuffOverlayCount(850000000),1)""}",<1;1>,8012411,,
1261,Whirlpool Storm,1,,"Additionally grants 1 ally 【Aid: Wind Barrier】#C0x5c9970#$(1+(skillLevel >= 5 and 1 or 0))$#C0x5B545B# turns (prioritizes the highest ATK ally). (【Aid: Wind Barrier】: Level 2 buff, non-stackable. Evasion is increased by #C0x5c9970#$(10+(skillLevel >= 2 and 10 or 0))$%#C0x5B545B#, damage taken is reduced by #C0x5c9970#$(7+(skillLevel >= 3 and 8 or 0))$%#C0x5B545B#, and attacking the shielded target causes the attacker to take Special ATK reflect damage equal to #C0x5c9970#$(40+(skillLevel >= 4 and 40 or 0))$%#C0x5B545B# of the caster's Special ATK. Splash damage, traps, and negative effects do not spread outside the barrier.)",3,1+(self:flagAS6() and 1 or 0),,,,"{1=""true""}",<1;1>,8012611,,
