变量名,specialDamage,finalDamageDeepen,damage,equipLevel,hp,rarity,desc,cardID,finalDamageSub,finalDamageAdd,equipAwake,strike,equipAdvance,level,equipStar,advance,fetters,finalDamageReduce,shieldPower,mpAttackRecover,ignoreDamageSub,elementalDamageAdd,cardShowScale,elementalDamageDeepen,controlPer,rebound,suckBlood,immuneControl,mainSkillSub,mainSkillAdd,damageSub,damageAdd,blockPower,breakBlock,block,strikeResistance,elementalDamageReduce,strikeDamage,elementalDamageSub,star,speed,specialDefence,mpBeAttackRecover,defence,helditem,cardShowPos,skillLevels,abilities,nvalue,zawake,languages,__version
默认值,"""""","""""","""""",100,"""""",1,"""""",0,"""""","""""",5,"""""",18,100,5,19,TRUE,"""""","""""","""""","""""","""""",1,"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",12,"""""","""""","""""","""""",{advance=7;id=30318;level=60},{x=0;y=0},<100;100;100;100;100;100>,<20;20;20;20;20;20;20;20;20;20>,{specialDefence=31;hp=31;defence=31;specialDamage=31;speed=31;damage=31},<8;8;0;0;0;0;0;0>,<cn;kr;en;en_us;en_eu;tw>,
ID,specialDamage,finalDamageDeepen,damage,equipLevel,hp,rarity,desc,cardID,finalDamageSub,finalDamageAdd,equipAwake,strike,equipAdvance,level,equipStar,advance,fetters,finalDamageReduce,shieldPower,mpAttackRecover,ignoreDamageSub,elementalDamageAdd,cardShowScale,elementalDamageDeepen,controlPer,rebound,suckBlood,immuneControl,mainSkillSub,mainSkillAdd,damageSub,damageAdd,blockPower,breakBlock,block,strikeResistance,elementalDamageReduce,strikeDamage,elementalDamageSub,star,speed,specialDefence,mpBeAttackRecover,defence,helditem,cardShowPos,skillLevels,abilities,nvalue,zawake,languages,__version
1,220%,,220%,,260%,3,Sceptile,1293,,,,7000,,,,,,,,,,,,,,1000,9000,9000,5000,12000,7000,13000,3000,10000,7000,9000,,10000,,,220%,180%,,180%,{advance=7;id=30428;level=60},,,,,<8;8;8;8;8;8;8;8>,,
2,210%,,210%,,380%,3,Snorlax,712,,,,7000,,,,,,,,,,,,,2000,10000,,9000,11000,12000,16000,13000,6000,1000,15000,15000,,10000,,,220%,180%,,180%,{advance=7;id=30301;level=60},,,,,<8;8;8;8;8;8;8;8>,,
3,220%,,220%,,350%,3,Ash's Pikachu,7001,,,,7000,,,,,,,,,,,1.47,,9900,,,19000,9000,12000,12000,13000,3000,3500,7000,10000,,16000,,,220%,180%,,180%,{advance=7;id=30319;level=60},{x=14;y=135},,,,<8;8;8;8;8;8;8;8>,,
4,220%,,220%,,260%,3,Infernape,2023,,,,7000,,,,,,,,,,,,,,,,9000,5000,12000,7000,13000,3000,1000,7000,9000,,28500,,,220%,180%,,180%,{advance=7;id=30402;level=60},,,,,<8;8;8;8;8;8;8;8>,,
5,220%,,220%,,260%,4,Ash-Greninja,7011,,,,7000,,,,,,,,,,,,,,,,9000,5000,12000,7000,13000,3000,1000,7000,9000,,10000,,,220%,180%,,180%,{advance=7;id=30401;level=60},,,,,<8;8;8;8;8;8;8;8>,,
6,310%,,210%,,330%,2,Charizard,13,,,,15000,,,,,,,,,,,,,,,,9000,5000,12000,7000,13000,3000,1000,7000,9000,,18000,,,240%,220%,,220%,{advance=7;id=30414;level=60},,,,,<8;8;8;8;8;8;8;8>,,
7,120%,,120%,,120%,3,Moltres,741,,,,,,,,,,,,,,,,,,,,500,1500,1500,1500,1500,,,,,,,,,120%,120%,,120%,{advance=7;id=30303;level=60},,,,,<8;8;8;8;8;8;8;8>,,
8,,,,,,4,Reshiram,3211,,,,,,,,,,,,,,,2.1,,,,,500,1500,1500,1500,1500,,,,,,,,,,,,,{advance=7;id=30415;level=60},{x=19;y=80},,,,<0;0;0;0;0;0;0;0>,,
