变量名,name,back,battleType,icon,chapterLimit,weight,isEndShow,totalLimit,close,guideExit,failJump,iconScale,type,iconOffset,monster,shop,story,choose
默认值,"""""",TRUE,0,"""""",1,100,TRUE,1,TRUE,FALSE,-1,1,0,{x=0;y=0},<>,<>,<>,<>
ID,遭遇名称,是否可返回,战斗类型(0无/1普通/2精英/3BOSS),图标资源,章节限制,权重,是否结算显示,总次数限制,是否可关闭,引导退出,失败跳转,图标缩放,遭遇类型(1战斗/2商店/3故事/4强化),图标偏移{x;y},怪物组<monsterID>,商店<shopID>,故事<storyID>,选择<chooseID>
101,Regular,,1,config/big_role/show/img_role_1@.png,,,,,FALSE,,,,1,,<1;2>,,,
102,Elite,,2,config/big_role/show/img_role_2@.png,,,,,FALSE,,,,1,,<3;4;6>,,,
103,BOSS,,3,config/big_hero/normal/img_6_phl@.png,,,,,FALSE,,200010,1.6,1,{x=0;y=20},<3;4;5;6>,,,
104,Regular,,,config/big_role/show/img_role_5@.png,,,,,,,,,2,,,<1>,,
105,Freebie,,,config/big_role/show/img_role_6@.png,,,,,,,,,2,,,<2>,,
106,Random,,,config/big_role/show/img_role_7@.png,,,,,,,,,2,,,<1;2;3;12;13;14>,,
107,Enhancement,,,config/big_role/show/img_role_9@.png,,,,,,,,,4,,,,,<1>
108,Star Up,,,config/big_role/show/img_role_10@.png,,,,,,,,,4,,,,,<2>
109,Story A,,,config/big_role/show/img_role_12@.png,,,,,,,,,3,,,,<1>,
110,Story B,,,config/big_role/show/img_role_13@.png,,,,,,,,,3,,,,<2>,
111,Story C,,,config/big_role/show/img_role_14@.png,,,,,,,,,3,,,,<3>,
112,Road's End,,,config/big_role/show/img_role_15@.png,,,,,FALSE,,,,3,,,,<11>,
113,Master Tournament,,,config/big_role/show/img_role_16@.png,,,,,FALSE,,,,3,,,,<12>,
114,Freebie,,,config/big_role/show/img_role_6@.png,,,,,,,,,2,,,<15>,,
201,Starting Partner,,,config/big_role/show/img_role_16@.png,,,,,,,,,2,,,<11>,,
211,Professor's Trial,,1,config/big_role/show/img_role_32@.png,,,FALSE,,FALSE,,,,1,,<11>,,,
212,Regular Battle,,1,config/big_role/show/img_role_1@.png,,,,,FALSE,,,,1,,<12>,,,
213,Boss Battle,,3,config/big_hero/normal/img_6_phl@.png,,,,,FALSE,,200010,1.6,1,{x=0;y=20},<13>,,,
214,Regular Battle,,1,config/big_role/show/img_role_1@.png,,,,,FALSE,,,,1,,<14>,,,
