变量名,name,_beizhu,type,activeType,desc,rarity,groupID,addAttrs,addType,skillIDs,cardIDs,unlockType,unlockTarget,unlockCount,weight,timesLimit,iconResPath
默认值,"""""","""""",0,1,"""""",0,0,{},3,<>,<>,0,0,999,100,0,""""""
ID,名称,备注,类型(1-属性加成;2-激活被动技能;3-招募),生效类型(1-非全局生效;2-全局生效),描述,稀有度,索引ID,属性类型({attrType:attrNum}),提升范围(1-前排;2-后排;3-全体;4-指定属性;5-指定属性技能),激活被动技能ID,招募卡牌ID,解锁方式(0-无条件;1-招募指定id卡牌;2-失败x轮解锁;),解锁目标,解锁次数,基础权重,全局触发上限(0-无限制),图标资源
1001,Attack Boost,,1,,"In this mode, allied back row gains +10% P.ATK & S.ATK.",1,1,{7=10%;8=10%},2,,,,,,,,activity/brave_challenge/xz_icon/icon_yztz_gj.png
1002,Damage Boost,,1,,"In this mode, allied back row gains +10% damage bonus.",1,1,{22=1000},2,,,,,,,,activity/brave_challenge/xz_icon/icon_yztz_gj.png
1003,Crit Chance Boost,,1,,"In this mode, allied back row gains +10% Crit Rate.",1,1,{14=1000},2,,,,,,,,activity/brave_challenge/xz_icon/icon_yztz_gj.png
1004,Ultimate Boost,,1,,"In this mode, allied back row gains +10% Ultimate damage.",1,1,{24=1000},2,,,,,,,,activity/brave_challenge/xz_icon/icon_yztz_gj.png
1005,Enhanced Attack Boost,,1,,"In this mode, allied back row gains +20% P.ATK & S.ATK.",1,2,{7=20%;8=20%},2,,,,,,50,,activity/brave_challenge/xz_icon/icon_yztz_gj.png
1006,Enhanced Damage Boost,,1,,"In this mode, allied back row gains +20% damage bonus.",1,2,{22=2000},2,,,,,,50,,activity/brave_challenge/xz_icon/icon_yztz_gj.png
1007,Enhanced Crit Chance Boost,,1,,"In this mode, allied back row gains +20% Crit Rate.",1,2,{14=2000},2,,,,,,50,,activity/brave_challenge/xz_icon/icon_yztz_gj.png
1008,Enhanced Ultimate Boost,,1,,"In this mode, allied back row gains +20% Ultimate damage.",1,2,{24=2000},2,,,,,,50,,activity/brave_challenge/xz_icon/icon_yztz_gj.png
