变量名,name,suitQuality,suitNum,skillID,res,linkageID,attrType3,attrNum2,attrType2,attrNum3,attrNum1,attrType1
默认值,"""""",1,0,0,city/emera/buff/icon_yj1.png,0,0,"""""",0,"""""","""""",0
ID,印记套装名称,套装品质,激活所需数量(2/4/6),激活技能ID,图标资源路径,印记ID,属性类型3,属性数值2,属性类型2,属性数值3,属性数值1,属性类型1
1,Steadfast - Initiate,3,2,,city/emera/buff/icon_yj2.png,1,,,,,2%,1
2,Steadfast - Initiate,4,4,,city/emera/buff/icon_yj2.png,1,,,,,4%,1
3,Steadfast - Initiate,5,6,,city/emera/buff/icon_yj2.png,1,,,,,7%,1
4,Guard - Common,3,2,,city/emera/buff/icon_yj2_1_1.png,2,,200,16,,2%,1
5,Guard - Common,4,4,,city/emera/buff/icon_yj2_1_1.png,2,,400,16,,4%,1
6,Guard - Common,5,6,,city/emera/buff/icon_yj2_1_1.png,2,,700,16,,7%,1
7,Tenacity - Refined,3,2,,city/emera/buff/icon_yj2_1_2.png,3,,200,18,,2%,1
8,Tenacity - Refined,4,4,,city/emera/buff/icon_yj2_1_2.png,3,,400,18,,4%,1
9,Tenacity - Refined,5,6,,city/emera/buff/icon_yj2_1_2.png,3,,700,18,,7%,1
10,Unyielding - Radiant,3,2,,city/emera/buff/icon_yj2_2_1.png,4,,200,25,,200,23
11,Unyielding - Radiant,4,4,,city/emera/buff/icon_yj2_2_1.png,4,,400,25,,400,23
12,Unyielding - Radiant,5,6,,city/emera/buff/icon_yj2_2_1.png,4,100,700,25,500,700,23
13,Counter - Apex,3,2,,city/emera/buff/icon_yj2_2_2.png,5,,200,97,,200,27
14,Counter - Apex,4,4,,city/emera/buff/icon_yj2_2_2.png,5,,500,97,,500,27
15,Counter - Apex,5,6,,city/emera/buff/icon_yj2_2_2.png,5,101,500,97,700,700,27
101,Heavy Strike - Initiate,3,2,,city/emera/buff/icon_yj1.png,101,,2%,8,,2%,7
102,Heavy Strike - Initiate,4,4,,city/emera/buff/icon_yj1.png,101,,4%,8,,4%,7
103,Heavy Strike - Initiate,5,6,,city/emera/buff/icon_yj1.png,101,,7%,8,,7%,7
104,Chain Attack - Common,3,2,,city/emera/buff/icon_yj1_1_1.png,102,14,2%,8,200,2%,7
105,Chain Attack - Common,4,4,,city/emera/buff/icon_yj1_1_1.png,102,14,4%,8,400,4%,7
106,Chain Attack - Common,5,6,,city/emera/buff/icon_yj1_1_1.png,102,14,7%,8,700,7%,7
107,Armor Shred - Refined,3,2,,city/emera/buff/icon_yj1_1_2.png,103,22,2%,8,200,2%,7
108,Armor Shred - Refined,4,4,,city/emera/buff/icon_yj1_1_2.png,103,22,4%,8,400,4%,7
109,Armor Shred - Refined,5,6,,city/emera/buff/icon_yj1_1_2.png,103,22,7%,8,700,7%,7
110,Berserk - Radiant,3,2,,city/emera/buff/icon_yj1_2_1.png,104,,200,24,,200,22
111,Berserk - Radiant,4,4,,city/emera/buff/icon_yj1_2_1.png,104,,500,24,,500,22
112,Berserk - Radiant,5,6,,city/emera/buff/icon_yj1_2_1.png,104,102,700,24,500,700,22
113,Execution - Apex,3,2,,city/emera/buff/icon_yj1_2_2.png,105,,200,96,,200,26
114,Execution - Apex,4,4,,city/emera/buff/icon_yj1_2_2.png,105,,500,96,,500,26
115,Execution - Apex,5,6,,city/emera/buff/icon_yj1_2_2.png,105,103,500,96,700,700,26
201,Swiftness - Initiate,3,2,,city/emera/buff/icon_yj3.png,201,,2%,10,,2%,9
202,Swiftness - Initiate,4,4,,city/emera/buff/icon_yj3.png,201,,4%,10,,4%,9
203,Swiftness - Initiate,5,6,,city/emera/buff/icon_yj3.png,201,,7%,10,,7%,9
204,Vitality - Common,3,2,,city/emera/buff/icon_yj3_1_1.png,202,90,2%,10,200,2%,9
205,Vitality - Common,4,4,,city/emera/buff/icon_yj3_1_1.png,202,90,4%,10,400,4%,9
206,Vitality - Common,5,6,,city/emera/buff/icon_yj3_1_1.png,202,90,7%,10,700,7%,9
207,Focus - Refined,3,2,,city/emera/buff/icon_yj3_1_2.png,203,91,2%,10,200,2%,9
208,Focus - Refined,4,4,,city/emera/buff/icon_yj3_1_2.png,203,91,4%,10,400,4%,9
209,Focus - Refined,5,6,,city/emera/buff/icon_yj3_1_2.png,203,91,7%,10,700,7%,9
210,Potential - Radiant,3,2,,city/emera/buff/icon_yj3_2_1.png,204,,200,28,,2%,1
211,Potential - Radiant,4,4,,city/emera/buff/icon_yj3_2_1.png,204,,500,28,,5%,1
212,Potential - Radiant,5,6,,city/emera/buff/icon_yj3_2_1.png,204,104,700,28,500,7%,1
213,Unity - Apex,3,2,,city/emera/buff/icon_yj3_2_2.png,205,,200,5,,2%,13
214,Unity - Apex,4,4,,city/emera/buff/icon_yj3_2_2.png,205,,500,5,,5%,13
215,Unity - Apex,5,6,,city/emera/buff/icon_yj3_2_2.png,205,3,700,5,80,7%,13
